split,canonical_piece_id,relative_path,duration_seconds,sample_rate,channels
train,chang_cheng_sui_xiang,Erhu-1/Chang_Cheng_Sui_Xiang/Chang_Cheng_Sui_Xiang.wav,36.70333333333333,48000,1
train,henan_xiao_qu,Erhu-1/Henan_Xiao_Qu-part1/Henan_Xiao_Qu-part1.wav,36.436416666666666,48000,1
train,henan_xiao_qu,Erhu-1/Henan_Xiao_Qu-part2/Henan_Xiao_Qu-part2.wav,33.566875,48000,1
train,meng_feng,Erhu-1/Meng_Feng/Meng_Feng.wav,19.019,48000,1
train,qin_qiang_sui_xiang,Erhu-1/Qin_Qiang_Sui_Xiang-part1/Qin_Qiang_Sui_Xiang-part1.wav,140.20675,48000,1
train,qin_qiang_sui_xiang,Erhu-1/Qin_Qiang_Sui_Xiang-part2/Qin_Qiang_Sui_Xiang-part2.wav,93.02627083333333,48000,1
train,sai_ma,Erhu-1/Sai_Ma/Sai_Ma.wav,24.691333333333333,48000,1
train,the_third_erhu_rhapsody,Erhu-1/The_Third_Erhu_Rhapsody-part1/The_Third_Erhu_Rhapsody-part1.wav,89.75633333333333,48000,1
train,the_third_erhu_rhapsody,Erhu-1/The_Third_Erhu_Rhapsody-part2/The_Third_Erhu_Rhapsody-part2.wav,74.5745,48000,1
train,yi_zhi_hua,Erhu-1/Yi_Zhi_Hua/Yi_Zhi_Hua.wav,127.3939375,48000,1
train,la_luo_tuo,Erhu-2/La_Luo_Tuo/La_Luo_Tuo.wav,59.39266666666666,48000,1
train,shan_cun_bian_le_yang,Erhu-2/Shan_Cun_Bian_Le_Yang/Shan_Cun_Bian_Le_Yang.wav,32.5325,48000,1
train,xin_hun_bie,Erhu-2/Xin_Hun_Bie/Xin_Hun_Bie.wav,80.8808125,48000,1
train,yimeng_shan_xiao_diao,Erhu-2/Yimeng_Shan_Xiao_Diao/Yimeng_Shan_Xiao_Diao.wav,36.3029375,48000,1
train,zhu_ying_yao_hong,Erhu-2/Zhu_Ying_Yao_Hong/Zhu_Ying_Yao_Hong.wav,31.398041666666668,48000,1
train,henan_xiao_qu,Erhu-3/Henan_Xiao_Qu/Henan_Xiao_Qu.wav,79.41266666666667,48000,1
train,xian_ju_yin,Erhu-3/Xian_Ju_Yin/Xian_Ju_Yin.wav,63.02964583333333,48000,1
val,jiangnan_chun_se,Erhu-1/Jiangnan_Chun_Se/Jiangnan_Chun_Se.wav,84.98491666666666,48000,1
test,jiang_he_shui,Erhu-1/Jiang_He_Shui/Jiang_He_Shui.wav,70.70397916666667,48000,1
test,bei_ge,Erhu-2/Bei_Ge/Bei_Ge.wav,68.5685,48000,1
test,xi_song_gong_liang,Erhu-2/Xi_Song_Gong_Liang/Xi_Song_Gong_Liang.wav,77.51077083333334,48000,1
