rank,epoch,train_loss,val_loss,learning_rate
4,1,9.818597620183771,4.816988468170166,4.9584141920736656e-05
4,2,9.66250838655414,4.816662311553955,4.6801235203595195e-05
4,3,9.497868769096605,4.815354029337565,4.1682970280555986e-05
4,4,9.273955576347582,4.814018249511719,3.47776180122539e-05
4,5,9.01034959157308,4.812376340230306,2.682488286652269e-05
4,6,8.767892346237645,4.810939947764079,1.867666544020798e-05
4,7,8.567599990151145,4.807133515675862,1.120580648073885e-05
4,8,8.48174069144509,4.801633199055989,5.2125877892686496e-06
4,9,8.431667963663736,4.799599011739095,1.3390056710597649e-06
4,10,8.448099223050205,4.799215316772461,0.0
